Year,Species,BioPhyReg,Date,DOY,MigrMonth,TempDepart,NAOIndex
1994,Belted Kingfisher,Nine,3-May-94,123,Apr,0.1,3.03
1994,Belted Kingfisher,Seven,6-Apr-94,96,Apr,0.1,3.03
1994,Belted Kingfisher,Seven,9-May-94,129,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,4-Apr-94,94,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,6-Apr-94,96,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,9-Apr-94,99,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,10-Apr-94,100,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,11-Apr-94,101,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,11-Apr-94,101,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,12-Apr-94,102,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,12-Apr-94,102,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,15-Apr-94,105,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,16-Apr-94,106,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,17-Apr-94,107,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,17-Apr-94,107,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,17-Apr-94,107,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,18-Apr-94,108,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,18-Apr-94,108,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,21-Apr-94,111,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,22-Apr-94,112,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,22-Apr-94,112,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,24-Apr-94,114,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,2-May-94,122,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,3-May-94,123,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,3-May-94,123,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,4-May-94,124,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,8-May-94,128,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,14-May-94,134,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,17-May-94,137,Apr,0.1,3.03
1994,Belted Kingfisher,Ten,24-May-94,144,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,23-Mar-94,82,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,26-Mar-94,85,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,26-Mar-94,85,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,26-Mar-94,85,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,29-Mar-94,88,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,30-Mar-94,89,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,6-Apr-94,96,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,12-Apr-94,102,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,15-Apr-94,105,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,16-Apr-94,106,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,17-Apr-94,107,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,20-Apr-94,110,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,22-Apr-94,112,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,9-May-94,129,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,11-May-94,131,Apr,0.1,3.03
1994,Belted Kingfisher,Thirteen,15-May-94,135,Apr,0.1,3.03
1994,Belted Kingfisher,Twelve,25-Mar-94,84,Apr,0.1,3.03
1994,Belted Kingfisher,Twelve,28-Mar-94,87,Apr,0.1,3.03
1994,Belted Kingfisher,Twelve,29-Mar-94,88,Apr,0.1,3.03
1994,Belted Kingfisher,Twelve,3-Apr-94,93,Apr,0.1,3.03
1994,Belted Kingfisher,Twelve,5-Apr-94,95,Apr,0.1,3.03
1994,Belted Kingfisher,Twelve,5-Apr-94,95,Apr,0.1,3.03
1994,Belted Kingfisher,Twelve,8-Apr-94,98,Apr,0.1,3.03
1994,Belted Kingfisher,Twelve,13-Apr-94,103,Apr,0.1,3.03
1994,Belted Kingfisher,Twelve,19-Apr-94,109,Apr,0.1,3.03
1994,Belted Kingfisher,Twelve,23-Apr-94,113,Apr,0.1,3.03
1994,Belted Kingfisher,Twelve,1-May-94,121,Apr,0.1,3.03
1994,Belted Kingfisher,Twelve,8-May-94,128,Apr,0.1,3.03
1995,Belted Kingfisher,Eleven,20-May-95,140,Apr,-1.3,3.96
1995,Belted Kingfisher,Eleven,20-May-95,140,Apr,-1.3,3.96
1995,Belted Kingfisher,Fifteen,29-Mar-95,88,Apr,-1.3,3.96
1995,Belted Kingfisher,Fifteen,12-Apr-95,102,Apr,-1.3,3.96
1995,Belted Kingfisher,Fifteen,19-Apr-95,109,Apr,-1.3,3.96
1995,Belted Kingfisher,Fifteen,6-May-95,126,Apr,-1.3,3.96
1995,Belted Kingfisher,Fifteen,21-May-95,141,Apr,-1.3,3.96
1995,Belted Kingfisher,Fifteen,28-May-95,148,Apr,-1.3,3.96
1995,Belted Kingfisher,Fourteen,9-Apr-95,99,Apr,-1.3,3.96
1995,Belted Kingfisher,Fourteen,18-Apr-95,108,Apr,-1.3,3.96
1995,Belted Kingfisher,Fourteen,1-May-95,121,Apr,-1.3,3.96
1995,Belted Kingfisher,Fourteen,20-May-95,140,Apr,-1.3,3.96
1995,Belted Kingfisher,Nine,22-Apr-95,112,Apr,-1.3,3.96
1995,Belted Kingfisher,Nine,30-Apr-95,120,Apr,-1.3,3.96
1995,Belted Kingfisher,Seven,15-Apr-95,105,Apr,-1.3,3.96
1995,Belted Kingfisher,Ten,1-Apr-95,91,Apr,-1.3,3.96
1995,Belted Kingfisher,Ten,12-Apr-95,102,Apr,-1.3,3.96
1995,Belted Kingfisher,Ten,13-Apr-95,103,Apr,-1.3,3.96
1995,Belted Kingfisher,Ten,16-Apr-95,106,Apr,-1.3,3.96
1995,Belted Kingfisher,Ten,25-Apr-95,115,Apr,-1.3,3.96
1995,Belted Kingfisher,Ten,30-Apr-95,120,Apr,-1.3,3.96
1995,Belted Kingfisher,Ten,14-May-95,134,Apr,-1.3,3.96
1995,Belted Kingfisher,Ten,17-May-95,137,Apr,-1.3,3.96
1995,Belted Kingfisher,Ten,27-May-95,147,Apr,-1.3,3.96
1995,Belted Kingfisher,Ten,22-Jun-95,173,Apr,-1.3,3.96
1995,Belted Kingfisher,Thirteen,7-Mar-95,66,Apr,-1.3,3.96
1995,Belted Kingfisher,Thirteen,20-Mar-95,79,Apr,-1.3,3.96
1995,Belted Kingfisher,Thirteen,20-Mar-95,79,Apr,-1.3,3.96
1995,Belted Kingfisher,Thirteen,21-Mar-95,80,Apr,-1.3,3.96
1995,Belted Kingfisher,Thirteen,5-Apr-95,95,Apr,-1.3,3.96
1995,Belted Kingfisher,Thirteen,18-Apr-95,108,Apr,-1.3,3.96
1995,Belted Kingfisher,Thirteen,24-Apr-95,114,Apr,-1.3,3.96
1995,Belted Kingfisher,Twelve,21-Mar-95,80,Apr,-1.3,3.96
1995,Belted Kingfisher,Twelve,7-Apr-95,97,Apr,-1.3,3.96
1995,Belted Kingfisher,Twelve,7-Apr-95,97,Apr,-1.3,3.96
1995,Belted Kingfisher,Twelve,11-Apr-95,101,Apr,-1.3,3.96
1995,Belted Kingfisher,Twelve,15-Apr-95,105,Apr,-1.3,3.96
1995,Belted Kingfisher,Twelve,17-Apr-95,107,Apr,-1.3,3.96
1995,Belted Kingfisher,Twelve,27-Apr-95,117,Apr,-1.3,3.96
1995,Belted Kingfisher,Twelve,19-May-95,139,Apr,-1.3,3.96
1996,Belted Kingfisher,Eleven,11-May-96,132,Apr,-0.1,-3.78
1996,Belted Kingfisher,Eleven,11-May-96,132,Apr,-0.1,-3.78
1996,Belted Kingfisher,Fifteen,11-Apr-96,102,Apr,-0.1,-3.78
1996,Belted Kingfisher,Fifteen,20-Apr-96,111,Apr,-0.1,-3.78
1996,Belted Kingfisher,Fifteen,21-Apr-96,112,Apr,-0.1,-3.78
1996,Belted Kingfisher,Fifteen,22-Apr-96,113,Apr,-0.1,-3.78
1996,Belted Kingfisher,Fifteen,22-Apr-96,113,Apr,-0.1,-3.78
1996,Belted Kingfisher,Fourteen,12-Apr-96,103,Apr,-0.1,-3.78
1996,Belted Kingfisher,Fourteen,24-Apr-96,115,Apr,-0.1,-3.78
1996,Belted Kingfisher,Fourteen,7-May-96,128,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,19-Apr-96,110,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,20-Apr-96,111,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,20-Apr-96,111,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,20-Apr-96,111,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,21-Apr-96,112,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,21-Apr-96,112,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,21-Apr-96,112,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,21-Apr-96,112,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,21-Apr-96,112,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,22-Apr-96,113,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,23-Apr-96,114,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,27-Apr-96,118,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,27-Apr-96,118,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,30-Apr-96,121,Apr,-0.1,-3.78
1996,Belted Kingfisher,Ten,14-Jun-96,166,Apr,-0.1,-3.78
1996,Belted Kingfisher,Thirteen,19-Apr-96,110,Apr,-0.1,-3.78
1996,Belted Kingfisher,Thirteen,19-Apr-96,110,Apr,-0.1,-3.78
1996,Belted Kingfisher,Thirteen,20-Apr-96,111,Apr,-0.1,-3.78
1996,Belted Kingfisher,Thirteen,23-Apr-96,114,Apr,-0.1,-3.78
1996,Belted Kingfisher,Thirteen,25-Apr-96,116,Apr,-0.1,-3.78
1996,Belted Kingfisher,Thirteen,29-May-96,150,Apr,-0.1,-3.78
1996,Belted Kingfisher,Twelve,28-Mar-96,88,Apr,-0.1,-3.78
1996,Belted Kingfisher,Twelve,1-Apr-96,92,Apr,-0.1,-3.78
1996,Belted Kingfisher,Twelve,6-Apr-96,97,Apr,-0.1,-3.78
1996,Belted Kingfisher,Twelve,12-Apr-96,103,Apr,-0.1,-3.78
1996,Belted Kingfisher,Twelve,18-Apr-96,109,Apr,-0.1,-3.78
1996,Belted Kingfisher,Twelve,19-Apr-96,110,Apr,-0.1,-3.78
1996,Belted Kingfisher,Twelve,3-May-96,124,Apr,-0.1,-3.78
1996,Belted Kingfisher,Twelve,9-May-96,130,Apr,-0.1,-3.78
1997,Belted Kingfisher,Eight,14-May-97,134,Apr,-1.1,-0.17
1997,Belted Kingfisher,Eleven,1-May-97,121,Apr,-1.1,-0.17
1997,Belted Kingfisher,Fifteen,25-Apr-97,115,Apr,-1.1,-0.17
1997,Belted Kingfisher,Fifteen,3-May-97,123,Apr,-1.1,-0.17
1997,Belted Kingfisher,Fifteen,13-May-97,133,Apr,-1.1,-0.17
1997,Belted Kingfisher,Fourteen,12-Apr-97,102,Apr,-1.1,-0.17
1997,Belted Kingfisher,Fourteen,8-May-97,128,Apr,-1.1,-0.17
1997,Belted Kingfisher,Seven,27-Apr-97,117,Apr,-1.1,-0.17
1997,Belted Kingfisher,Ten,17-Apr-97,107,Apr,-1.1,-0.17
1997,Belted Kingfisher,Ten,19-Apr-97,109,Apr,-1.1,-0.17
1997,Belted Kingfisher,Ten,20-Apr-97,110,Apr,-1.1,-0.17
1997,Belted Kingfisher,Ten,20-Apr-97,110,Apr,-1.1,-0.17
1997,Belted Kingfisher,Ten,26-Apr-97,116,Apr,-1.1,-0.17
1997,Belted Kingfisher,Ten,26-Apr-97,116,Apr,-1.1,-0.17
1997,Belted Kingfisher,Ten,4-May-97,124,Apr,-1.1,-0.17
1997,Belted Kingfisher,Ten,28-May-97,148,Apr,-1.1,-0.17
1997,Belted Kingfisher,Ten,19-Jun-97,170,Apr,-1.1,-0.17
1997,Belted Kingfisher,Thirteen,28-Mar-97,87,Apr,-1.1,-0.17
1997,Belted Kingfisher,Thirteen,2-Apr-97,92,Apr,-1.1,-0.17
1997,Belted Kingfisher,Thirteen,4-Apr-97,94,Apr,-1.1,-0.17
1997,Belted Kingfisher,Thirteen,5-Apr-97,95,Apr,-1.1,-0.17
1997,Belted Kingfisher,Thirteen,12-Apr-97,102,Apr,-1.1,-0.17
1997,Belted Kingfisher,Twelve,16-Feb-97,47,Apr,-1.1,-0.17
1997,Belted Kingfisher,Twelve,1-Apr-97,91,Apr,-1.1,-0.17
1997,Belted Kingfisher,Twelve,6-Apr-97,96,Apr,-1.1,-0.17
1997,Belted Kingfisher,Twelve,6-Apr-97,96,Apr,-1.1,-0.17
1997,Belted Kingfisher,Twelve,8-Apr-97,98,Apr,-1.1,-0.17
1997,Belted Kingfisher,Twelve,17-Apr-97,107,Apr,-1.1,-0.17
1997,Belted Kingfisher,Twelve,20-Apr-97,110,Apr,-1.1,-0.17
1997,Belted Kingfisher,Twelve,4-May-97,124,Apr,-1.1,-0.17
1997,Belted Kingfisher,Twelve,6-May-97,126,Apr,-1.1,-0.17
1997,Belted Kingfisher,Twelve,9-May-97,129,Apr,-1.1,-0.17
1998,Belted Kingfisher,Eight,10-May-98,130,Apr,1.2,0.72
1998,Belted Kingfisher,Eight,21-May-98,141,Apr,1.2,0.72
1998,Belted Kingfisher,Eleven,13-May-98,133,Apr,1.2,0.72
1998,Belted Kingfisher,Fifteen,8-May-98,128,Apr,1.2,0.72
1998,Belted Kingfisher,Fifteen,9-May-98,129,Apr,1.2,0.72
1998,Belted Kingfisher,Fifteen,13-May-98,133,Apr,1.2,0.72
1998,Belted Kingfisher,Fourteen,23-Apr-98,113,Apr,1.2,0.72
1998,Belted Kingfisher,Ten,8-Apr-98,98,Apr,1.2,0.72
1998,Belted Kingfisher,Ten,16-Apr-98,106,Apr,1.2,0.72
1998,Belted Kingfisher,Ten,18-Apr-98,108,Apr,1.2,0.72
1998,Belted Kingfisher,Ten,22-Apr-98,112,Apr,1.2,0.72
1998,Belted Kingfisher,Ten,28-Apr-98,118,Apr,1.2,0.72
1998,Belted Kingfisher,Ten,29-Apr-98,119,Apr,1.2,0.72
1998,Belted Kingfisher,Ten,11-Jun-98,162,Apr,1.2,0.72
1998,Belted Kingfisher,Thirteen,11-Apr-98,101,Apr,1.2,0.72
1998,Belted Kingfisher,Thirteen,13-Apr-98,103,Apr,1.2,0.72
1998,Belted Kingfisher,Twelve,6-Jan-98,6,Apr,1.2,0.72
1998,Belted Kingfisher,Twelve,28-Feb-98,59,Apr,1.2,0.72
1998,Belted Kingfisher,Twelve,17-Apr-98,107,Apr,1.2,0.72
1998,Belted Kingfisher,Twelve,24-Apr-98,114,Apr,1.2,0.72
1998,Belted Kingfisher,Twelve,11-May-98,131,Apr,1.2,0.72
1999,Belted Kingfisher,Eight,25-Apr-99,115,Apr,1.2,1.7
1999,Belted Kingfisher,Eight,27-Apr-99,117,Apr,1.2,1.7
1999,Belted Kingfisher,Eleven,8-May-99,128,Apr,1.2,1.7
1999,Belted Kingfisher,Fifteen,15-Apr-99,105,Apr,1.2,1.7
1999,Belted Kingfisher,Fourteen,10-Feb-99,41,Apr,1.2,1.7
1999,Belted Kingfisher,Fourteen,29-Apr-99,119,Apr,1.2,1.7
1999,Belted Kingfisher,Fourteen,30-Apr-99,120,Apr,1.2,1.7
1999,Belted Kingfisher,Fourteen,1-May-99,121,Apr,1.2,1.7
1999,Belted Kingfisher,Fourteen,9-May-99,129,Apr,1.2,1.7
1999,Belted Kingfisher,Ten,7-Apr-99,97,Apr,1.2,1.7
1999,Belted Kingfisher,Ten,8-Apr-99,98,Apr,1.2,1.7
1999,Belted Kingfisher,Ten,8-Apr-99,98,Apr,1.2,1.7
1999,Belted Kingfisher,Ten,11-Apr-99,101,Apr,1.2,1.7
1999,Belted Kingfisher,Ten,16-Apr-99,106,Apr,1.2,1.7
1999,Belted Kingfisher,Ten,17-Apr-99,107,Apr,1.2,1.7
1999,Belted Kingfisher,Ten,22-Apr-99,112,Apr,1.2,1.7
1999,Belted Kingfisher,Ten,2-May-99,122,Apr,1.2,1.7
1999,Belted Kingfisher,Ten,4-May-99,124,Apr,1.2,1.7
1999,Belted Kingfisher,Thirteen,8-Apr-99,98,Apr,1.2,1.7
1999,Belted Kingfisher,Thirteen,17-Apr-99,107,Apr,1.2,1.7
1999,Belted Kingfisher,Thirteen,8-May-99,128,Apr,1.2,1.7
1999,Belted Kingfisher,Twelve,27-Mar-99,86,Apr,1.2,1.7
1999,Belted Kingfisher,Twelve,4-Apr-99,94,Apr,1.2,1.7
1999,Belted Kingfisher,Twelve,10-Apr-99,100,Apr,1.2,1.7
1999,Belted Kingfisher,Twelve,10-Apr-99,100,Apr,1.2,1.7
1999,Belted Kingfisher,Twelve,15-Apr-99,105,Apr,1.2,1.7
1999,Belted Kingfisher,Twelve,21-Apr-99,111,Apr,1.2,1.7
2000,Belted Kingfisher,Eight,29-Apr-00,120,Apr,0.1,2.8
2000,Belted Kingfisher,Eleven,24-Apr-00,115,Apr,0.1,2.8
2000,Belted Kingfisher,Fifteen,17-Apr-00,108,Apr,0.1,2.8
2000,Belted Kingfisher,Fifteen,9-May-00,130,Apr,0.1,2.8
2000,Belted Kingfisher,Fourteen,7-Apr-00,98,Apr,0.1,2.8
2000,Belted Kingfisher,Fourteen,9-May-00,130,Apr,0.1,2.8
2000,Belted Kingfisher,Fourteen,16-May-00,137,Apr,0.1,2.8
2000,Belted Kingfisher,Nine,5-May-00,126,Apr,0.1,2.8
2000,Belted Kingfisher,Seven,30-Mar-00,90,Apr,0.1,2.8
2000,Belted Kingfisher,Ten,1-Apr-00,92,Apr,0.1,2.8
2000,Belted Kingfisher,Ten,1-Apr-00,92,Apr,0.1,2.8
2000,Belted Kingfisher,Ten,2-Apr-00,93,Apr,0.1,2.8
2000,Belted Kingfisher,Ten,3-Apr-00,94,Apr,0.1,2.8
2000,Belted Kingfisher,Ten,11-Apr-00,102,Apr,0.1,2.8
2000,Belted Kingfisher,Ten,13-Apr-00,104,Apr,0.1,2.8
2000,Belted Kingfisher,Ten,16-Apr-00,107,Apr,0.1,2.8
2000,Belted Kingfisher,Ten,7-May-00,128,Apr,0.1,2.8
2000,Belted Kingfisher,Thirteen,23-Mar-00,83,Apr,0.1,2.8
2000,Belted Kingfisher,Thirteen,3-Apr-00,94,Apr,0.1,2.8
2000,Belted Kingfisher,Thirteen,8-May-00,129,Apr,0.1,2.8
2000,Belted Kingfisher,Thirteen,15-May-00,136,Apr,0.1,2.8
2000,Belted Kingfisher,Twelve,3-Jan-00,3,Apr,0.1,2.8
2000,Belted Kingfisher,Twelve,1-Mar-00,61,Apr,0.1,2.8
2000,Belted Kingfisher,Twelve,3-Mar-00,63,Apr,0.1,2.8
2000,Belted Kingfisher,Twelve,30-Mar-00,90,Apr,0.1,2.8
2000,Belted Kingfisher,Twelve,19-Apr-00,110,Apr,0.1,2.8
2000,Belted Kingfisher,Twelve,14-May-00,135,Apr,0.1,2.8
2001,Belted Kingfisher,Eight,21-Apr-01,111,Apr,-0.3,-1.89
2001,Belted Kingfisher,Eight,3-May-01,123,Apr,-0.3,-1.89
2001,Belted Kingfisher,Eleven,26-Apr-01,116,Apr,-0.3,-1.89
2001,Belted Kingfisher,Fifteen,23-May-01,143,Apr,-0.3,-1.89
2001,Belted Kingfisher,Fourteen,17-Apr-01,107,Apr,-0.3,-1.89
2001,Belted Kingfisher,Fourteen,26-Apr-01,116,Apr,-0.3,-1.89
2001,Belted Kingfisher,Fourteen,1-May-01,121,Apr,-0.3,-1.89
2001,Belted Kingfisher,Fourteen,7-May-01,127,Apr,-0.3,-1.89
2001,Belted Kingfisher,Ten,22-Apr-01,112,Apr,-0.3,-1.89
2001,Belted Kingfisher,Ten,22-Apr-01,112,Apr,-0.3,-1.89
2001,Belted Kingfisher,Ten,28-Apr-01,118,Apr,-0.3,-1.89
2001,Belted Kingfisher,Ten,5-May-01,125,Apr,-0.3,-1.89
2001,Belted Kingfisher,Ten,12-May-01,132,Apr,-0.3,-1.89
2001,Belted Kingfisher,Ten,12-May-01,132,Apr,-0.3,-1.89
2001,Belted Kingfisher,Thirteen,10-Apr-01,100,Apr,-0.3,-1.89
2001,Belted Kingfisher,Thirteen,20-Apr-01,110,Apr,-0.3,-1.89
2001,Belted Kingfisher,Thirteen,12-May-01,132,Apr,-0.3,-1.89
2001,Belted Kingfisher,Twelve,1-Apr-01,91,Apr,-0.3,-1.89
2001,Belted Kingfisher,Twelve,10-Apr-01,100,Apr,-0.3,-1.89
2001,Belted Kingfisher,Twelve,13-Apr-01,103,Apr,-0.3,-1.89
2002,Belted Kingfisher,Eight,13-Apr-02,103,Apr,0.5,0.76
2002,Belted Kingfisher,Eleven,23-Apr-02,113,Apr,0.5,0.76
2002,Belted Kingfisher,Fifteen,11-May-02,131,Apr,0.5,0.76
2002,Belted Kingfisher,Fourteen,5-Apr-02,95,Apr,0.5,0.76
2002,Belted Kingfisher,Fourteen,14-Apr-02,104,Apr,0.5,0.76
2002,Belted Kingfisher,Fourteen,16-Apr-02,106,Apr,0.5,0.76
2002,Belted Kingfisher,Fourteen,12-May-02,132,Apr,0.5,0.76
2002,Belted Kingfisher,Nine,5-May-02,125,Apr,0.5,0.76
2002,Belted Kingfisher,Seven,17-Apr-02,107,Apr,0.5,0.76
2002,Belted Kingfisher,Seven,30-Apr-02,120,Apr,0.5,0.76
2002,Belted Kingfisher,Ten,10-Apr-02,100,Apr,0.5,0.76
2002,Belted Kingfisher,Ten,11-Apr-02,101,Apr,0.5,0.76
2002,Belted Kingfisher,Ten,23-Apr-02,113,Apr,0.5,0.76
2002,Belted Kingfisher,Ten,5-May-02,125,Apr,0.5,0.76
2002,Belted Kingfisher,Thirteen,9-Apr-02,99,Apr,0.5,0.76
2002,Belted Kingfisher,Thirteen,10-Apr-02,100,Apr,0.5,0.76
2002,Belted Kingfisher,Thirteen,14-Apr-02,104,Apr,0.5,0.76
2002,Belted Kingfisher,Twelve,27-Mar-02,86,Apr,0.5,0.76
2002,Belted Kingfisher,Twelve,4-Apr-02,94,Apr,0.5,0.76
2002,Belted Kingfisher,Twelve,14-May-02,134,Apr,0.5,0.76
2003,Belted Kingfisher,Eight,30-Apr-03,120,Apr,-1.3,0.2
2003,Belted Kingfisher,Eleven,20-Apr-03,110,Apr,-1.3,0.2
2003,Belted Kingfisher,Fifteen,19-Apr-03,109,Apr,-1.3,0.2
2003,Belted Kingfisher,Fifteen,6-May-03,126,Apr,-1.3,0.2
2003,Belted Kingfisher,Fourteen,31-Mar-03,90,Apr,-1.3,0.2
2003,Belted Kingfisher,Fourteen,28-Apr-03,118,Apr,-1.3,0.2
2003,Belted Kingfisher,Seven,20-Apr-03,110,Apr,-1.3,0.2
2003,Belted Kingfisher,Seven,28-Apr-03,118,Apr,-1.3,0.2
2003,Belted Kingfisher,Ten,12-Apr-03,102,Apr,-1.3,0.2
2003,Belted Kingfisher,Ten,16-Apr-03,106,Apr,-1.3,0.2
2003,Belted Kingfisher,Ten,18-Apr-03,108,Apr,-1.3,0.2
2003,Belted Kingfisher,Ten,20-Apr-03,110,Apr,-1.3,0.2
2003,Belted Kingfisher,Ten,23-Apr-03,113,Apr,-1.3,0.2
2003,Belted Kingfisher,Ten,2-Jun-03,153,Apr,-1.3,0.2
2003,Belted Kingfisher,Thirteen,29-Jan-03,29,Apr,-1.3,0.2
2003,Belted Kingfisher,Thirteen,1-Apr-03,91,Apr,-1.3,0.2
2003,Belted Kingfisher,Thirteen,2-Apr-03,92,Apr,-1.3,0.2
2003,Belted Kingfisher,Thirteen,4-Apr-03,94,Apr,-1.3,0.2
2003,Belted Kingfisher,Twelve,29-Mar-03,88,Apr,-1.3,0.2
2003,Belted Kingfisher,Twelve,7-Apr-03,97,Apr,-1.3,0.2
2004,Belted Kingfisher,Eight,1-May-04,122,Apr,0.3,-0.07
2004,Belted Kingfisher,Fourteen,19-Apr-04,110,Apr,0.3,-0.07
2004,Belted Kingfisher,Fourteen,9-May-04,130,Apr,0.3,-0.07
2004,Belted Kingfisher,Nine,3-May-04,124,Apr,0.3,-0.07
2004,Belted Kingfisher,Seven,17-Apr-04,108,Apr,0.3,-0.07
2004,Belted Kingfisher,Seven,1-May-04,122,Apr,0.3,-0.07
2004,Belted Kingfisher,Ten,15-Apr-04,106,Apr,0.3,-0.07
2004,Belted Kingfisher,Ten,19-Apr-04,110,Apr,0.3,-0.07
2004,Belted Kingfisher,Ten,8-May-04,129,Apr,0.3,-0.07
2004,Belted Kingfisher,Thirteen,25-Mar-04,85,Apr,0.3,-0.07
2004,Belted Kingfisher,Thirteen,1-Apr-04,92,Apr,0.3,-0.07
2004,Belted Kingfisher,Thirteen,11-Apr-04,102,Apr,0.3,-0.07
2004,Belted Kingfisher,Thirteen,16-Apr-04,107,Apr,0.3,-0.07
2004,Belted Kingfisher,Twelve,3-Jan-04,3,Apr,0.3,-0.07
2004,Belted Kingfisher,Twelve,10-Mar-04,70,Apr,0.3,-0.07
